:Data_list: 20161018_ace_swepam_1m.txt
:Created: 2016 Oct 19 0011 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2016 10 18  0640   57679   24000    0        1.2      646.7     1.49e+05
2016 10 18  0641   57679   24060    0        1.0      647.4     1.35e+05
2016 10 18  0642   57679   24120    1        1.0      638.8     1.92e+05
2016 10 18  0643   57679   24180    0        0.9      639.5     1.67e+05
2016 10 18  0644   57679   24240    0        0.9      644.3     1.64e+05
2016 10 18  0645   57679   24300    0        1.0      646.6     1.51e+05
2016 10 18  0646   57679   24360    0        1.0      645.3     1.55e+05
2016 10 18  0647   57679   24420    0        0.9      645.2     1.48e+05
2016 10 18  0648   57679   24480    0        0.9      649.1     1.50e+05
2016 10 18  0649   57679   24540    0        1.0      650.7     1.63e+05
2016 10 18  0650   57679   24600    0        1.0      648.9     1.56e+05
2016 10 18  0651   57679   24660    0        1.0      649.3     1.45e+05
2016 10 18  0652   57679   24720    0        1.0      648.1     1.55e+05
2016 10 18  0653   57679   24780    0        1.1      643.2     1.56e+05
2016 10 18  0654   57679   24840    0        1.0      648.7     1.34e+05
2016 10 18  0655   57679   24900    0        0.9      640.6     1.57e+05
2016 10 18  0656   57679   24960    0        0.9      636.9     1.51e+05
2016 10 18  0657   57679   25020    1        0.9      635.6     1.61e+05
2016 10 18  0658   57679   25080    1        1.0      634.7     1.61e+05
2016 10 18  0659   57679   25140    1        1.0      638.6     1.56e+05
2016 10 18  0700   57679   25200    0        0.9      638.6     1.62e+05
2016 10 18  0701   57679   25260    0        0.9      637.0     1.65e+05
2016 10 18  0702   57679   25320    0        0.8      639.4     1.76e+05
2016 10 18  0703   57679   25380    1        0.9      639.8     1.70e+05
2016 10 18  0704   57679   25440    0        0.9      638.6     1.55e+05
2016 10 18  0705   57679   25500    0        0.9      638.3     1.49e+05
2016 10 18  0706   57679   25560    0        1.0      629.6     1.53e+05
2016 10 18  0707   57679   25620    0        1.0      630.8     1.50e+05
2016 10 18  0708   57679   25680    0        1.0      631.7     1.46e+05
2016 10 18  0709   57679   25740    1        0.9      629.1     1.55e+05
2016 10 18  0710   57679   25800    1        0.8      634.5     1.58e+05
2016 10 18  0711   57679   25860    1        1.0      627.5     1.46e+05
2016 10 18  0712   57679   25920    0        0.9      632.1     1.52e+05
2016 10 18  0713   57679   25980    0        1.0      629.4     1.37e+05
2016 10 18  0714   57679   26040    0        1.0      636.6     1.37e+05
2016 10 18  0715   57679   26100    0        1.0      631.5     1.29e+05
2016 10 18  0716   57679   26160    0        0.9      630.2     1.32e+05
2016 10 18  0717   57679   26220    0        1.0      630.1     1.40e+05
2016 10 18  0718   57679   26280    0        1.0      631.0     1.46e+05
2016 10 18  0719   57679   26340    0        1.0      630.2     1.42e+05
2016 10 18  0720   57679   26400    0        1.0      630.0     1.34e+05
2016 10 18  0721   57679   26460    0        1.0      631.2     1.34e+05
2016 10 18  0722   57679   26520    1        1.1      631.4     1.31e+05
2016 10 18  0723   57679   26580    1        0.8      622.9     1.25e+05
2016 10 18  0724   57679   26640    0        0.5      616.8     1.53e+05
2016 10 18  0725   57679   26700    0        1.2      642.4     1.89e+05
2016 10 18  0726   57679   26760    0        1.3      640.3     1.63e+05
2016 10 18  0727   57679   26820    0        1.1      635.7     1.50e+05
2016 10 18  0728   57679   26880    1        1.1      634.3     1.36e+05
2016 10 18  0729   57679   26940    0        0.3      609.0     1.26e+05
2016 10 18  0730   57679   27000    0        1.2      643.0     1.53e+05
2016 10 18  0731   57679   27060    0        0.8      623.7     1.18e+05
2016 10 18  0732   57679   27120    1        1.3      637.7     1.72e+05
2016 10 18  0733   57679   27180    1        1.0      637.5     1.58e+05
2016 10 18  0734   57679   27240    0        1.0      633.7     1.51e+05
2016 10 18  0735   57679   27300    0        1.0      638.9     1.95e+05
2016 10 18  0736   57679   27360    0        0.6      621.3     1.79e+05
2016 10 18  0737   57679   27420    0        0.5      616.9     1.38e+05
2016 10 18  0738   57679   27480    0        0.9      633.7     1.35e+05
2016 10 18  0739   57679   27540    0        0.6      621.8     1.12e+05
2016 10 18  0740   57679   27600    0        0.8      627.3     1.14e+05
2016 10 18  0741   57679   27660    0        1.1      640.9     1.20e+05
2016 10 18  0742   57679   27720    1        0.9      636.8     1.21e+05
2016 10 18  0743   57679   27780    0        0.9      640.6     1.26e+05
2016 10 18  0744   57679   27840    0        0.3      600.3     7.56e+04
2016 10 18  0745   57679   27900    0        0.9      642.9     1.38e+05
2016 10 18  0746   57679   27960    0        1.3      655.8     1.98e+05
2016 10 18  0747   57679   28020    1        1.3      648.3     2.71e+05
2016 10 18  0748   57679   28080    1        1.2      643.1     1.67e+05
2016 10 18  0749   57679   28140    0        0.5      613.2     1.32e+05
2016 10 18  0750   57679   28200    1        0.8      625.7     1.64e+05
2016 10 18  0751   57679   28260    0        1.2      632.8     1.63e+05
2016 10 18  0752   57679   28320    1        1.3      631.0     1.58e+05
2016 10 18  0753   57679   28380    1        1.1      629.5     1.57e+05
2016 10 18  0754   57679   28440    0        0.8      621.9     1.40e+05
2016 10 18  0755   57679   28500    0        0.8      619.3     1.39e+05
2016 10 18  0756   57679   28560    0        0.9      623.5     1.59e+05
2016 10 18  0757   57679   28620    0        0.5      613.9     1.39e+05
2016 10 18  0758   57679   28680    0        1.0      629.3     1.36e+05
2016 10 18  0759   57679   28740    1        1.4      636.4     1.72e+05
2016 10 18  0800   57679   28800    0        1.0      630.5     1.65e+05
2016 10 18  0801   57679   28860    1        1.0      628.2     1.53e+05
2016 10 18  0802   57679   28920    0        0.2      599.8     1.26e+05
2016 10 18  0803   57679   28980    1        1.3      648.5     2.20e+05
2016 10 18  0804   57679   29040    1        1.3      645.9     1.98e+05
2016 10 18  0805   57679   29100    0        1.1      643.8     1.47e+05
2016 10 18  0806   57679   29160    0        1.0      634.9     1.23e+05
2016 10 18  0807   57679   29220    1        1.0      632.0     1.34e+05
2016 10 18  0808   57679   29280    0        1.0      635.7     1.38e+05
2016 10 18  0809   57679   29340    0        0.6      622.6     1.20e+05
2016 10 18  0810   57679   29400    0        0.8      622.0     1.60e+05
2016 10 18  0811   57679   29460    0        1.6      647.4     2.41e+05
2016 10 18  0812   57679   29520    0        0.6      615.6     1.26e+05
2016 10 18  0813   57679   29580    0        0.6      617.8     1.35e+05
2016 10 18  0814   57679   29640    0        0.9      626.5     1.69e+05
2016 10 18  0815   57679   29700    0        0.8      624.9     1.56e+05
2016 10 18  0816   57679   29760    0        1.3      639.3     1.65e+05
2016 10 18  0817   57679   29820    0        0.4      599.3     7.03e+04
2016 10 18  0818   57679   29880    0        1.2      639.4     1.63e+05
2016 10 18  0819   57679   29940    1        1.3      636.4     1.69e+05
2016 10 18  0820   57679   30000    0        1.1      628.7     1.50e+05
2016 10 18  0821   57679   30060    0        1.1      627.6     1.43e+05
2016 10 18  0822   57679   30120    0        0.6      612.5     1.14e+05
2016 10 18  0823   57679   30180    0        0.8      620.9     1.48e+05
2016 10 18  0824   57679   30240    0        1.1      629.9     1.67e+05
2016 10 18  0825   57679   30300    0        1.2      633.6     1.64e+05
2016 10 18  0826   57679   30360    0        1.3      637.1     1.65e+05
2016 10 18  0827   57679   30420    0        0.9      623.8     1.35e+05
2016 10 18  0828   57679   30480    0        0.7      613.4     1.26e+05
2016 10 18  0829   57679   30540    0        1.1      631.1     1.69e+05
2016 10 18  0830   57679   30600    1        0.5      612.3     1.23e+05
2016 10 18  0831   57679   30660    0        1.4      640.4     2.07e+05
2016 10 18  0832   57679   30720    1        1.0      624.1     1.46e+05
2016 10 18  0833   57679   30780    0        0.8      619.8     1.22e+05
2016 10 18  0834   57679   30840    1        0.9      621.8     1.18e+05
2016 10 18  0835   57679   30900    0        0.3      608.0     1.21e+05
2016 10 18  0836   57679   30960    0        1.0      631.5     1.45e+05
2016 10 18  0837   57679   31020    1        0.9      617.4     1.05e+05
2016 10 18  0838   57679   31080    0        1.0      626.3     1.30e+05
2016 10 18  0839   57679   31140    0        1.2      636.5     1.54e+05
2016 10 18  0840   57679   31200    0        1.1      634.4     1.46e+05
2016 10 18  0841   57679   31260    0        0.8      628.8     1.30e+05
2016 10 18  0842   57679   31320    0        0.6      615.4     1.04e+05
2016 10 18  0843   57679   31380    0        0.6      613.8     1.06e+05
2016 10 18  0844   57679   31440    0        1.0      641.9     1.66e+05
2016 10 18  0845   57679   31500    0        1.0      630.2     1.18e+05
2016 10 18  0846   57679   31560    0        1.0      630.9     1.23e+05
2016 10 18  0847   57679   31620    0        1.2      633.5     1.49e+05
2016 10 18  0848   57679   31680    0        0.4      608.0     1.02e+05
2016 10 18  0849   57679   31740    0        1.3      644.4     1.56e+05
2016 10 18  0850   57679   31800    0        1.0      625.6     1.16e+05
2016 10 18  0851   57679   31860    0        1.2      638.3     1.45e+05
2016 10 18  0852   57679   31920    0        1.2      639.1     1.47e+05
2016 10 18  0853   57679   31980    0        1.2      630.8     1.30e+05
2016 10 18  0854   57679   32040    0        1.0      618.6     1.16e+05
2016 10 18  0855   57679   32100    0        0.7      601.3     8.88e+04
2016 10 18  0856   57679   32160    0        1.0      619.1     1.44e+05
2016 10 18  0857   57679   32220    0        1.2      632.9     1.74e+05
2016 10 18  0858   57679   32280    0        1.1      619.8     1.44e+05
2016 10 18  0859   57679   32340    1        1.1      616.3     1.53e+05
2016 10 18  0900   57679   32400    0        0.9      610.7     1.35e+05
2016 10 18  0901   57679   32460    0        0.6      598.1     1.11e+05
2016 10 18  0902   57679   32520    1        1.2      616.4     1.47e+05
2016 10 18  0903   57679   32580    0        0.5      600.3     1.08e+05
2016 10 18  0904   57679   32640    0        1.1      620.3     1.60e+05
2016 10 18  0905   57679   32700    0        1.3      619.4     1.67e+05
2016 10 18  0906   57679   32760    0        1.0      606.5     1.33e+05
2016 10 18  0907   57679   32820    0        0.9      610.2     1.58e+05
2016 10 18  0908   57679   32880    0        0.9      624.0     1.29e+05
2016 10 18  0909   57679   32940    0        1.0      623.6     1.24e+05
2016 10 18  0910   57679   33000    0        1.0      614.4     1.61e+05
2016 10 18  0911   57679   33060    1        1.1      608.1     1.70e+05
2016 10 18  0912   57679   33120    0        1.1      605.3     1.64e+05
2016 10 18  0913   57679   33180    0        1.1      605.6     1.64e+05
2016 10 18  0914   57679   33240    1        1.0      610.6     1.67e+05
2016 10 18  0915   57679   33300    1        0.9      615.7     1.59e+05
2016 10 18  0916   57679   33360    0        1.0      616.2     1.38e+05
2016 10 18  0917   57679   33420    0        1.0      618.4     1.43e+05
2016 10 18  0918   57679   33480    1        1.2      612.7     2.36e+05
2016 10 18  0919   57679   33540    1        1.1      612.6     2.34e+05
2016 10 18  0920   57679   33600    1        1.0      611.4     2.01e+05
2016 10 18  0921   57679   33660    1        1.0      611.7     2.15e+05
2016 10 18  0922   57679   33720    0        1.0      610.8     1.90e+05
2016 10 18  0923   57679   33780    1        1.1      612.8     1.96e+05
2016 10 18  0924   57679   33840    0        1.0      610.5     2.07e+05
2016 10 18  0925   57679   33900    0        1.5      614.9     2.33e+05
2016 10 18  0926   57679   33960    0        1.3      643.6     1.78e+05
2016 10 18  0927   57679   34020    0        1.2      652.2     1.43e+05
2016 10 18  0928   57679   34080    0        1.2      647.7     1.31e+05
2016 10 18  0929   57679   34140    0        1.2      647.0     1.25e+05
2016 10 18  0930   57679   34200    0        1.2      648.6     1.31e+05
2016 10 18  0931   57679   34260    0        1.1      649.6     1.28e+05
2016 10 18  0932   57679   34320    0        1.0      646.0     1.10e+05
2016 10 18  0933   57679   34380    0        0.9      636.7     9.48e+04
2016 10 18  0934   57679   34440    0        1.0      624.0     1.26e+05
2016 10 18  0935   57679   34500    0        1.3      614.4     1.45e+05
2016 10 18  0936   57679   34560    0        1.4      617.7     1.36e+05
2016 10 18  0937   57679   34620    0        1.1      614.6     1.45e+05
2016 10 18  0938   57679   34680    0        1.2      612.0     1.12e+05
2016 10 18  0939   57679   34740    0        1.0      620.8     1.24e+05
2016 10 18  0940   57679   34800    0        1.3      623.9     1.12e+05
2016 10 18  0941   57679   34860    0        1.2      611.6     1.19e+05
2016 10 18  0942   57679   34920    0        1.3      616.8     1.31e+05
2016 10 18  0943   57679   34980    0        1.2      625.3     1.38e+05
2016 10 18  0944   57679   35040    0        1.2      624.2     1.46e+05
2016 10 18  0945   57679   35100    0        1.1      626.1     1.34e+05
2016 10 18  0946   57679   35160    0        1.1      629.9     1.15e+05
2016 10 18  0947   57679   35220    0        1.1      630.0     1.21e+05
2016 10 18  0948   57679   35280    0        1.2      635.7     1.35e+05
2016 10 18  0949   57679   35340    0        1.2      635.8     1.44e+05
2016 10 18  0950   57679   35400    0        1.2      640.2     1.32e+05
2016 10 18  0951   57679   35460    1        1.1      612.2     1.64e+05
2016 10 18  0952   57679   35520    1        1.1      612.2     1.64e+05
2016 10 18  0953   57679   35580    0        1.3      614.4     1.57e+05
2016 10 18  0954   57679   35640    0        1.1      622.0     1.34e+05
2016 10 18  0955   57679   35700    0        1.2      613.2     1.53e+05
2016 10 18  0956   57679   35760    0        1.2      608.1     1.53e+05
2016 10 18  0957   57679   35820    0        1.4      611.3     1.45e+05
2016 10 18  0958   57679   35880    0        1.0      627.3     1.20e+05
2016 10 18  0959   57679   35940    0        0.9      628.8     1.11e+05
2016 10 18  1000   57679   36000    0        1.1      618.8     1.55e+05
2016 10 18  1001   57679   36060    0        1.2      614.9     1.84e+05
2016 10 18  1002   57679   36120    0        1.1      618.5     1.51e+05
2016 10 18  1003   57679   36180    0        1.0      624.9     1.17e+05
2016 10 18  1004   57679   36240    0        1.1      633.1     1.22e+05
2016 10 18  1005   57679   36300    0        1.1      636.4     1.21e+05
2016 10 18  1006   57679   36360    0        0.9      635.4     1.24e+05
2016 10 18  1007   57679   36420    0        0.9      609.1     1.44e+05
2016 10 18  1008   57679   36480    0        1.3      646.9     2.22e+05
2016 10 18  1009   57679   36540    0        1.1      652.2     1.40e+05
2016 10 18  1010   57679   36600    0        0.5      627.1     1.44e+05
2016 10 18  1011   57679   36660    0        1.1      615.3     1.39e+05
2016 10 18  1012   57679   36720    0        1.1      614.8     1.24e+05
2016 10 18  1013   57679   36780    0        1.1      613.9     1.30e+05
2016 10 18  1014   57679   36840    0        1.2      616.5     1.20e+05
2016 10 18  1015   57679   36900    0        1.2      611.5     1.25e+05
2016 10 18  1016   57679   36960    0        1.1      620.7     1.36e+05
2016 10 18  1017   57679   37020    0        1.1      626.9     1.44e+05
2016 10 18  1018   57679   37080    0        1.2      619.2     1.52e+05
2016 10 18  1019   57679   37140    0        1.3      616.1     1.43e+05
2016 10 18  1020   57679   37200    0        1.4      616.7     1.20e+05
2016 10 18  1021   57679   37260    0        1.3      624.3     1.23e+05
2016 10 18  1022   57679   37320    0        1.1      622.0     1.24e+05
2016 10 18  1023   57679   37380    0        1.5      628.5     1.25e+05
2016 10 18  1024   57679   37440    9    -9999.9    -9999.9    -1.00e+05
2016 10 18  1025   57679   37500    0        1.4      631.3     1.19e+05
2016 10 18  1026   57679   37560    0        1.3      625.6     1.16e+05
2016 10 18  1027   57679   37620    0        1.3      622.6     1.28e+05
2016 10 18  1028   57679   37680    0        1.1      617.9     1.32e+05
2016 10 18  1029   57679   37740    0        0.9      611.1     1.28e+05
2016 10 18  1030   57679   37800    0        1.0      619.0     1.34e+05
2016 10 18  1031   57679   37860    0        0.9      619.1     1.09e+05
2016 10 18  1032   57679   37920    0        1.2      637.4     1.01e+05
2016 10 18  1033   57679   37980    0        1.2      636.5     1.26e+05
2016 10 18  1034   57679   38040    0        1.0      612.2     1.52e+05
2016 10 18  1035   57679   38100    0        1.2      607.9     1.64e+05
2016 10 18  1036   57679   38160    0        1.1      607.6     1.61e+05
2016 10 18  1037   57679   38220    0        1.1      613.9     1.55e+05
2016 10 18  1038   57679   38280    0        1.1      606.0     2.00e+05
2016 10 18  1039   57679   38340    0        1.0      600.8     1.84e+05
2016 10 18  1040   57679   38400    1        1.1      603.5     1.94e+05
2016 10 18  1041   57679   38460    1        0.9      614.9     2.37e+05
2016 10 18  1042   57679   38520    0        1.0      611.9     1.94e+05
2016 10 18  1043   57679   38580    0        1.1      605.6     1.62e+05
2016 10 18  1044   57679   38640    0        1.2      609.3     1.61e+05
2016 10 18  1045   57679   38700    0        1.2      612.7     1.58e+05
2016 10 18  1046   57679   38760    0        1.0      614.7     1.48e+05
2016 10 18  1047   57679   38820    0        1.1      621.6     1.52e+05
2016 10 18  1048   57679   38880    0        1.3      623.7     1.55e+05
2016 10 18  1049   57679   38940    0        1.2      620.7     1.44e+05
2016 10 18  1050   57679   39000    0        1.0      619.3     1.42e+05
2016 10 18  1051   57679   39060    0        1.1      618.6     1.53e+05
2016 10 18  1052   57679   39120    0        1.2      616.5     1.53e+05
2016 10 18  1053   57679   39180    0        1.1      616.6     1.54e+05
2016 10 18  1054   57679   39240    0        1.1      630.9     1.39e+05
2016 10 18  1055   57679   39300    0        1.1      625.6     1.43e+05
2016 10 18  1056   57679   39360    0        1.0      638.0     1.67e+05
2016 10 18  1057   57679   39420    9    -9999.9    -9999.9    -1.00e+05
2016 10 18  1058   57679   39480    0        1.0      631.2     1.41e+05
2016 10 18  1059   57679   39540    0        1.0      631.7     1.38e+05
2016 10 18  1100   57679   39600    0        1.0      626.9     1.42e+05
2016 10 18  1101   57679   39660    0        1.0      618.2     1.46e+05
2016 10 18  1102   57679   39720    0        1.0      616.0     1.42e+05
2016 10 18  1103   57679   39780    0        1.1      613.2     1.46e+05
2016 10 18  1104   57679   39840    0        1.0      605.1     1.46e+05
2016 10 18  1105   57679   39900    0        1.0      600.1     1.62e+05
2016 10 18  1106   57679   39960    1        1.1      603.3     1.78e+05
2016 10 18  1107   57679   40020    1        1.1      608.4     1.64e+05
2016 10 18  1108   57679   40080    0        1.1      608.9     1.66e+05
2016 10 18  1109   57679   40140    1        1.2      607.3     1.79e+05
2016 10 18  1110   57679   40200    0        1.4      614.0     1.64e+05
2016 10 18  1111   57679   40260    0        1.1      625.4     1.53e+05
2016 10 18  1112   57679   40320    0        1.3      627.7     1.76e+05
2016 10 18  1113   57679   40380    0        1.3      617.6     1.50e+05
2016 10 18  1114   57679   40440    0        1.5      622.1     1.15e+05
2016 10 18  1115   57679   40500    0        1.5      624.4     1.18e+05
2016 10 18  1116   57679   40560    0        1.5      633.4     1.45e+05
2016 10 18  1117   57679   40620    0        1.6      627.5     1.34e+05
2016 10 18  1118   57679   40680    0        1.3      622.2     1.39e+05
2016 10 18  1119   57679   40740    0        1.0      620.0     1.44e+05
2016 10 18  1120   57679   40800    0        1.2      618.6     1.38e+05
2016 10 18  1121   57679   40860    0        1.2      618.4     1.36e+05
2016 10 18  1122   57679   40920    0        1.0      619.0     1.38e+05
2016 10 18  1123   57679   40980    0        0.9      618.6     1.38e+05
2016 10 18  1124   57679   41040    0        1.0      616.8     1.43e+05
2016 10 18  1125   57679   41100    0        1.0      615.0     1.35e+05
2016 10 18  1126   57679   41160    0        1.0      615.9     1.39e+05
2016 10 18  1127   57679   41220    0        0.9      627.2     1.42e+05
2016 10 18  1128   57679   41280    0        0.9      621.5     1.38e+05
2016 10 18  1129   57679   41340    0        0.8      616.2     1.32e+05
2016 10 18  1130   57679   41400    0        0.8      616.2     1.32e+05
2016 10 18  1131   57679   41460    0        1.0      621.7     1.32e+05
2016 10 18  1132   57679   41520    0        1.0      617.4     1.29e+05
2016 10 18  1133   57679   41580    0        1.0      616.9     1.43e+05
2016 10 18  1134   57679   41640    0        1.0      618.5     1.35e+05
2016 10 18  1135   57679   41700    0        1.4      620.9     1.47e+05
2016 10 18  1136   57679   41760    0        1.5      627.5     1.58e+05
2016 10 18  1137   57679   41820    0        1.4      630.6     1.59e+05
2016 10 18  1138   57679   41880    0        1.4      627.4     1.54e+05
2016 10 18  1139   57679   41940    0        1.4      627.4     1.42e+05
2016 10 18  1140   57679   42000    0        1.1      630.3     1.53e+05
2016 10 18  1141   57679   42060    0        1.3      628.4     1.72e+05
2016 10 18  1142   57679   42120    0        1.2      629.0     1.53e+05
2016 10 18  1143   57679   42180    0        1.2      622.7     1.71e+05
2016 10 18  1144   57679   42240    0        1.2      621.0     1.55e+05
2016 10 18  1145   57679   42300    0        1.1      625.1     1.53e+05
2016 10 18  1146   57679   42360    0        1.3      635.3     1.69e+05
2016 10 18  1147   57679   42420    0        1.4      634.5     1.80e+05
2016 10 18  1148   57679   42480    0        1.2      631.7     1.61e+05
2016 10 18  1149   57679   42540    0        1.4      621.0     1.74e+05
2016 10 18  1150   57679   42600    0        1.2      628.3     1.68e+05
2016 10 18  1151   57679   42660    0        1.2      629.2     1.53e+05
2016 10 18  1152   57679   42720    0        1.2      626.0     1.49e+05
2016 10 18  1153   57679   42780    0        1.2      627.3     1.47e+05
2016 10 18  1154   57679   42840    0        1.1      627.9     1.47e+05
2016 10 18  1155   57679   42900    0        1.1      622.8     1.49e+05
2016 10 18  1156   57679   42960    0        1.2      620.1     1.50e+05
2016 10 18  1157   57679   43020    0        1.2      629.2     1.55e+05
2016 10 18  1158   57679   43080    0        1.1      623.6     1.52e+05
2016 10 18  1159   57679   43140    0        1.3      621.8     1.59e+05
2016 10 18  1200   57679   43200    0        1.2      618.4     1.52e+05
2016 10 18  1201   57679   43260    0        1.2      620.1     1.63e+05
2016 10 18  1202   57679   43320    0        1.3      620.0     1.42e+05
2016 10 18  1203   57679   43380    0        1.3      620.0     1.41e+05
2016 10 18  1204   57679   43440    0        1.2      607.7     1.55e+05
2016 10 18  1205   57679   43500    0        1.2      610.9     1.77e+05
2016 10 18  1206   57679   43560    0        1.3      611.7     1.94e+05
2016 10 18  1207   57679   43620    0        1.2      617.9     1.64e+05
2016 10 18  1208   57679   43680    0        1.1      620.2     1.45e+05
2016 10 18  1209   57679   43740    0        1.2      620.7     1.48e+05
2016 10 18  1210   57679   43800    0        1.1      629.2     1.45e+05
2016 10 18  1211   57679   43860    0        1.1      638.9     1.49e+05
2016 10 18  1212   57679   43920    0        1.2      633.8     1.70e+05
2016 10 18  1213   57679   43980    0        1.2      617.0     1.93e+05
2016 10 18  1214   57679   44040    0        1.3      618.1     2.13e+05
2016 10 18  1215   57679   44100    1        1.2      604.7     1.99e+05
2016 10 18  1216   57679   44160    1        1.2      604.6     2.08e+05
2016 10 18  1217   57679   44220    1        1.3      608.8     1.77e+05
2016 10 18  1218   57679   44280    0        1.0      618.0     1.71e+05
2016 10 18  1219   57679   44340    0        1.2      606.0     1.92e+05
2016 10 18  1220   57679   44400    0        1.3      604.6     1.81e+05
2016 10 18  1221   57679   44460    1        1.2      607.7     1.69e+05
2016 10 18  1222   57679   44520    0        1.3      603.7     1.80e+05
2016 10 18  1223   57679   44580    0        1.4      607.9     1.88e+05
2016 10 18  1224   57679   44640    0        1.4      608.4     1.94e+05
2016 10 18  1225   57679   44700    0        1.4      608.7     1.85e+05
2016 10 18  1226   57679   44760    0        1.2      622.4     1.58e+05
2016 10 18  1227   57679   44820    0        1.2      626.9     1.58e+05
2016 10 18  1228   57679   44880    1        1.3      610.2     1.84e+05
2016 10 18  1229   57679   44940    0        1.2      621.3     1.68e+05
2016 10 18  1230   57679   45000    0        1.2      635.3     1.58e+05
2016 10 18  1231   57679   45060    0        1.1      632.8     1.69e+05
2016 10 18  1232   57679   45120    0        1.2      626.5     1.83e+05
2016 10 18  1233   57679   45180    0        1.3      630.1     1.71e+05
2016 10 18  1234   57679   45240    0        1.1      641.7     1.49e+05
2016 10 18  1235   57679   45300    0        1.2      642.6     1.64e+05
2016 10 18  1236   57679   45360    0        1.2      642.6     1.66e+05
2016 10 18  1237   57679   45420    0        1.3      646.5     1.58e+05
2016 10 18  1238   57679   45480    0        1.4      647.7     1.59e+05
2016 10 18  1239   57679   45540    0        1.4      643.2     1.57e+05
2016 10 18  1240   57679   45600    0        1.2      635.5     1.56e+05
2016 10 18  1241   57679   45660    0        1.2      632.8     1.54e+05
2016 10 18  1242   57679   45720    0        1.3      632.0     1.47e+05
2016 10 18  1243   57679   45780    0        1.3      628.2     1.48e+05
2016 10 18  1244   57679   45840    0        1.3      625.9     1.52e+05
2016 10 18  1245   57679   45900    1        1.5      626.6     1.38e+05
2016 10 18  1246   57679   45960    0        2.2      641.9     1.55e+05
2016 10 18  1247   57679   46020    0        4.1      627.0     1.10e+05
2016 10 18  1248   57679   46080    0        1.5      637.2     1.91e+05
2016 10 18  1249   57679   46140    0        1.2      622.1     1.29e+05
2016 10 18  1250   57679   46200    0        1.4      617.4     1.77e+05
2016 10 18  1251   57679   46260    0        1.2      627.4     1.46e+05
2016 10 18  1252   57679   46320    0        0.9      587.5     9.46e+04
2016 10 18  1253   57679   46380    0        1.3      630.5     1.54e+05
2016 10 18  1254   57679   46440    0        1.6      653.7     2.54e+05
2016 10 18  1255   57679   46500    0        1.5      644.2     2.01e+05
2016 10 18  1256   57679   46560    0        1.6      643.5     2.06e+05
2016 10 18  1257   57679   46620    0        1.3      624.2     1.80e+05
2016 10 18  1258   57679   46680    0        1.0      607.0     1.27e+05
2016 10 18  1259   57679   46740    0        1.3      617.3     1.65e+05
2016 10 18  1300   57679   46800    0        1.3      610.8     1.48e+05
2016 10 18  1301   57679   46860    0        1.5      632.2     2.17e+05
2016 10 18  1302   57679   46920    0        1.2      625.6     2.20e+05
2016 10 18  1303   57679   46980    0        1.2      619.9     2.16e+05
2016 10 18  1304   57679   47040    0        1.6      619.3     2.15e+05
2016 10 18  1305   57679   47100    0        1.3      598.2     1.59e+05
2016 10 18  1306   57679   47160    0        1.6      619.5     2.22e+05
2016 10 18  1307   57679   47220    0        1.3      612.1     1.68e+05
2016 10 18  1308   57679   47280    0        1.4      621.8     1.77e+05
2016 10 18  1309   57679   47340    0        1.4      624.5     1.82e+05
2016 10 18  1310   57679   47400    0        1.4      619.6     1.51e+05
2016 10 18  1311   57679   47460    0        1.6      628.7     1.94e+05
2016 10 18  1312   57679   47520    0        1.4      620.3     1.63e+05
2016 10 18  1313   57679   47580    0        1.4      621.2     1.46e+05
2016 10 18  1314   57679   47640    0        1.7      636.9     1.96e+05
2016 10 18  1315   57679   47700    0        1.7      634.7     1.97e+05
2016 10 18  1316   57679   47760    0        1.5      629.9     1.66e+05
2016 10 18  1317   57679   47820    0        1.4      621.5     1.46e+05
2016 10 18  1318   57679   47880    0        0.8      593.3     9.14e+04
2016 10 18  1319   57679   47940    0        1.8      654.5     2.76e+05
2016 10 18  1320   57679   48000    0        1.5      631.9     1.79e+05
2016 10 18  1321   57679   48060    0        1.9      634.0     1.29e+05
2016 10 18  1322   57679   48120    0        3.9      652.6     9.74e+04
2016 10 18  1323   57679   48180    0        1.7      628.6     1.37e+05
2016 10 18  1324   57679   48240    0        1.3      633.8     2.16e+05
2016 10 18  1325   57679   48300    0        2.2      602.5     1.04e+05
2016 10 18  1326   57679   48360    0        2.0      639.3     2.01e+05
2016 10 18  1327   57679   48420    0        1.7      653.8     2.39e+05
2016 10 18  1328   57679   48480    0        1.7      643.0     1.73e+05
2016 10 18  1329   57679   48540    0        1.7      640.6     1.40e+05
2016 10 18  1330   57679   48600    0        2.4      631.7     1.13e+05
